Enrollment_ID,Semester,CGPA,Attendance_Pct,Books_Issued,Book_Genre_Preference,Fees_Status,Survey_Drop_Thought,Risk_Category
NITP-23-2063,1,9.6,85,9,Academic,Paid,No,no_risk
NITP-23-2064,3,7.67,98,14,Academic,Paid,No,no_risk
NITP-23-2065,4,2.57,57,1,Fiction,Partial,Yes,critical
NITP-23-2066,1,4.18,41,1,None,Pending,Yes,no_risk
NITP-23-2067,7,4.41,21,0,Sci-Fi,Pending,Yes,critical
NITP-23-2068,5,8.64,82,11,Academic,Paid,No,no_risk
NITP-23-2069,8,3.84,48,1,None,Pending,Yes,critical
NITP-23-2070,7,8.66,98,10,Academic,Paid,No,no_risk
NITP-23-2071,6,9.1,87,9,Academic,Paid,No,on_the_verge_of_drop
NITP-23-2072,1,1.75,41,2,Sci-Fi,Pending,Maybe,on_the_verge_of_drop
NITP-23-2073,1,6.14,69,5,Fiction,Paid,No,no_risk
NITP-23-2074,4,8.47,98,8,Non-Fiction,Paid,No,no_risk
NITP-23-2075,4,9.69,98,7,Sci-Fi,Paid,No,no_risk
NITP-23-2076,2,0.94,34,0,Fiction,Partial,Maybe,on_the_verge_of_drop
NITP-23-2077,4,1.63,39,1,Fiction,Partial,Yes,critical
NITP-23-2078,1,8.8,93,13,Academic,Paid,No,no_risk
NITP-23-2079,8,9.8,89,9,Academic,Paid,No,no_risk
NITP-23-2080,4,0.35,52,2,None,Pending,No,critical
NITP-23-2081,7,6.69,78,2,None,Paid,No,no_risk
NITP-23-2082,7,4.94,23,1,Sci-Fi,Pending,Yes,critical
NITP-23-2083,3,6.69,84,5,Sci-Fi,Paid,Maybe,on_the_verge_of_drop
NITP-23-2084,5,7.25,71,6,Academic,Paid,No,no_risk
NITP-23-2085,2,2.38,48,2,None,Pending,Maybe,on_the_verge_of_drop
NITP-23-2086,4,8.26,99,8,Academic,Paid,No,no_risk
NITP-23-2087,4,6.29,68,3,Academic,Paid,No,no_risk
NITP-23-2088,6,5.64,82,3,Non-Fiction,Paid,No,no_risk
NITP-23-2089,1,6.3,80,5,Non-Fiction,Paid,Maybe,critical
NITP-23-2090,7,8.63,96,5,Biography,Paid,No,no_risk
NITP-23-2091,4,7.34,65,7,Sci-Fi,Paid,No,no_risk
NITP-23-2092,7,9.22,98,12,Academic,Paid,No,no_risk
NITP-23-2093,7,7.13,80,6,Sci-Fi,Partial,No,no_risk
NITP-23-2094,8,0.27,49,0,Fiction,Partial,Yes,critical
NITP-23-2095,5,8.47,93,14,Academic,Paid,No,critical
NITP-23-2096,6,5.77,78,7,None,Partial,No,no_risk
NITP-23-2097,2,9.67,97,14,Sci-Fi,Paid,No,no_risk
NITP-23-2098,4,1.7,9,0,Sci-Fi,Pending,No,critical
NITP-23-2099,6,7.11,67,4,Biography,Paid,No,no_risk
NITP-23-2100,2,8.98,97,7,Academic,Paid,No,no_risk
NITP-23-2101,4,7.29,83,3,Sci-Fi,Partial,No,no_risk
NITP-23-2102,1,9.16,86,8,Academic,Paid,No,no_risk
NITP-23-2103,4,2.27,2,0,None,Pending,Maybe,critical
NITP-23-2104,6,9.8,83,10,Academic,Paid,No,no_risk
NITP-23-2105,3,9.97,97,11,Sci-Fi,Paid,No,no_risk
NITP-23-2106,1,6.92,82,5,Academic,Paid,No,no_risk
NITP-23-2107,4,7.6,80,9,Biography,Paid,No,no_risk
NITP-23-2108,7,6.49,76,5,Biography,Paid,Maybe,on_the_verge_of_drop
NITP-23-2109,8,8.17,84,11,Academic,Paid,No,no_risk
NITP-23-2110,8,7.17,78,7,Academic,Paid,No,no_risk
NITP-23-2111,5,3.74,1,0,None,Pending,Yes,critical
NITP-23-2112,6,6.1,69,6,None,Paid,Maybe,on_the_verge_of_drop
NITP-23-2113,1,8.52,80,5,Academic,Paid,No,critical
NITP-23-2114,5,9.71,95,13,Academic,Paid,No,no_risk
NITP-23-2115,8,8.03,98,13,Academic,Paid,No,no_risk
NITP-23-2116,3,6.86,67,4,Academic,Partial,No,no_risk
NITP-23-2117,4,6.72,79,2,Fiction,Paid,No,no_risk
NITP-23-2118,5,6.56,79,4,Academic,Partial,No,no_risk
NITP-23-2119,4,6.2,65,7,Non-Fiction,Partial,No,no_risk
NITP-23-2120,5,9.11,93,11,Academic,Paid,No,no_risk
NITP-23-2121,8,7.57,84,11,Academic,Paid,No,no_risk
NITP-23-2122,6,7.72,83,9,Academic,Paid,No,no_risk
NITP-23-2123,3,7.97,94,10,Academic,Paid,No,no_risk
NITP-23-2124,4,6.73,78,5,None,Paid,No,no_risk
NITP-23-2125,8,9.07,93,5,Academic,Paid,No,no_risk
NITP-23-2126,2,7.92,84,12,Academic,Paid,No,no_risk
NITP-23-2127,1,9.13,81,14,Academic,Paid,No,no_risk
NITP-23-2128,2,1.98,42,2,Sci-Fi,Pending,Maybe,on_the_verge_of_drop
NITP-23-2129,3,6.2,65,7,None,Paid,No,no_risk
NITP-23-2130,5,6.4,68,4,Sci-Fi,Paid,Maybe,on_the_verge_of_drop
NITP-23-2131,8,8.96,90,6,Academic,Paid,No,no_risk
NITP-23-2132,1,8.68,98,8,Academic,Paid,No,no_risk
NITP-23-2133,8,8.28,99,8,Academic,Paid,No,no_risk
NITP-23-2134,3,6.14,78,4,Biography,Paid,No,no_risk
NITP-23-2135,1,1.5,34,0,None,Pending,Maybe,on_the_verge_of_drop
NITP-23-2136,2,9.76,90,12,Academic,Paid,No,no_risk
NITP-23-2137,3,6.6,75,5,Fiction,Paid,No,no_risk
NITP-23-2138,4,9.25,84,10,Academic,Paid,No,no_risk
NITP-23-2139,3,9.63,86,11,Non-Fiction,Paid,No,no_risk
NITP-23-2140,1,9.39,94,9,Biography,Paid,No,no_risk
NITP-23-2141,3,6.4,72,2,Sci-Fi,Paid,No,no_risk
NITP-23-2142,6,5.83,73,2,Sci-Fi,Paid,No,no_risk
NITP-23-2143,2,4.28,27,2,None,Partial,Maybe,on_the_verge_of_drop
NITP-23-2144,4,7.33,67,6,Sci-Fi,Paid,Maybe,on_the_verge_of_drop
NITP-23-2145,4,6.11,70,5,Sci-Fi,Paid,No,no_risk
NITP-23-2146,6,8.28,86,11,Biography,Paid,No,critical
NITP-23-2147,7,0.47,58,1,None,Partial,Yes,critical
NITP-23-2148,8,8.92,96,8,Academic,Paid,No,no_risk
NITP-23-2149,1,2.43,64,2,None,Partial,Yes,critical
NITP-23-2150,6,8.75,86,14,Academic,Paid,No,no_risk
NITP-23-2151,2,8.19,92,6,Non-Fiction,Paid,No,no_risk
NITP-23-2152,4,7.69,94,10,Fiction,Paid,No,no_risk
NITP-23-2153,2,9.68,85,10,Academic,Paid,No,no_risk
NITP-23-2154,5,9.85,89,9,Sci-Fi,Paid,No,no_risk
NITP-23-2155,1,6.87,69,5,Biography,Paid,No,on_the_verge_of_drop
NITP-23-2156,2,9.81,94,6,Academic,Paid,No,no_risk
NITP-23-2157,2,9.53,87,12,Academic,Paid,No,no_risk
NITP-23-2158,1,7.04,74,4,Sci-Fi,Paid,No,no_risk
NITP-23-2159,6,8.11,90,5,Academic,Paid,No,no_risk
NITP-23-2160,2,7.18,73,6,Fiction,Paid,No,no_risk
NITP-23-2161,1,9.08,84,13,Academic,Paid,No,no_risk
NITP-23-2162,2,8.94,97,12,Academic,Paid,No,no_risk
NITP-23-2163,8,5.79,81,7,Fiction,Paid,No,critical
NITP-23-2164,2,7.26,69,3,Academic,Paid,No,no_risk
NITP-23-2165,4,1.51,14,2,Sci-Fi,Pending,Yes,critical
NITP-23-2166,1,1.99,51,2,None,Partial,Yes,critical
NITP-23-2167,4,5.95,76,3,None,Partial,No,no_risk
NITP-23-2168,1,0.02,22,1,None,Pending,No,critical
NITP-23-2169,8,9.62,97,8,Academic,Paid,No,no_risk
NITP-23-2170,1,9.72,99,5,Academic,Paid,No,no_risk
NITP-23-2171,3,6.38,76,3,Non-Fiction,Paid,No,no_risk
NITP-23-2172,5,8.32,80,14,Academic,Paid,No,no_risk
NITP-23-2173,4,6.36,82,6,None,Paid,No,on_the_verge_of_drop
NITP-23-2174,2,9.28,82,5,Academic,Paid,No,no_risk
NITP-23-2175,4,6.88,79,3,Biography,Paid,No,no_risk
NITP-23-2176,4,8.81,99,12,Academic,Paid,No,no_risk
NITP-23-2177,1,8.23,88,9,Fiction,Paid,No,no_risk
NITP-23-2178,4,5.69,73,6,Non-Fiction,Paid,Maybe,on_the_verge_of_drop
NITP-23-2179,8,8.28,83,10,Biography,Paid,No,no_risk
NITP-23-2180,3,9.01,85,11,Academic,Paid,No,no_risk
NITP-23-2181,6,6.25,70,5,Sci-Fi,Partial,No,critical
NITP-23-2182,6,6.49,78,5,Fiction,Paid,Maybe,on_the_verge_of_drop
NITP-23-2183,6,9.7,82,14,Academic,Paid,No,no_risk
NITP-23-2184,4,8.2,99,5,Non-Fiction,Paid,No,no_risk
NITP-23-2185,8,8.13,80,12,Academic,Paid,No,no_risk
NITP-23-2186,3,8.66,96,9,Non-Fiction,Paid,No,no_risk
NITP-23-2187,4,9.44,91,9,Biography,Paid,No,no_risk
NITP-23-2188,8,8.9,92,12,Fiction,Paid,No,no_risk
NITP-23-2189,7,8.89,99,14,Academic,Paid,No,no_risk
NITP-23-2190,4,7.88,85,5,Academic,Paid,No,no_risk
NITP-23-2191,5,5.86,74,6,Non-Fiction,Partial,No,no_risk
NITP-23-2192,5,7.32,73,5,Non-Fiction,Paid,No,no_risk
NITP-23-2193,1,6.65,66,3,Fiction,Paid,Maybe,on_the_verge_of_drop
NITP-23-2194,8,6.17,74,2,Biography,Paid,No,no_risk
NITP-23-2195,5,9.75,81,13,Academic,Paid,No,critical
NITP-23-2196,6,9.45,86,13,Non-Fiction,Paid,No,no_risk
NITP-23-2197,1,9.43,82,5,Fiction,Paid,No,no_risk
NITP-23-2198,4,3.27,0,2,Fiction,Pending,Yes,critical
NITP-23-2199,6,9.93,80,5,Academic,Paid,No,no_risk
NITP-23-2200,4,9.2,89,10,Non-Fiction,Paid,No,no_risk
NITP-23-2201,5,6.81,76,4,Biography,Paid,Maybe,on_the_verge_of_drop
NITP-23-2202,4,2.86,52,0,Fiction,Partial,Yes,critical
NITP-23-2203,4,7.51,83,14,Academic,Paid,No,no_risk
NITP-23-2204,2,9.99,82,13,Sci-Fi,Paid,No,no_risk
NITP-23-2205,6,8.68,92,10,Biography,Paid,No,no_risk
NITP-23-2206,5,5.8,69,2,Biography,Partial,No,no_risk
NITP-23-2207,1,1.75,45,2,Sci-Fi,Pending,Yes,critical
NITP-23-2208,1,8.02,83,14,Non-Fiction,Paid,No,on_the_verge_of_drop
NITP-23-2209,5,9.1,86,8,Academic,Paid,No,no_risk
NITP-23-2210,3,7.81,97,5,Academic,Paid,No,no_risk
NITP-23-2211,7,8.11,96,9,Non-Fiction,Paid,No,no_risk
NITP-23-2212,2,6.81,71,7,Biography,Paid,No,no_risk
NITP-23-2213,3,9.0,97,5,Biography,Paid,No,no_risk
NITP-23-2214,8,8.29,80,9,Academic,Paid,No,no_risk
NITP-23-2215,5,0.3,47,2,Fiction,Partial,No,on_the_verge_of_drop
NITP-23-2216,3,7.3,81,2,Academic,Paid,No,no_risk
NITP-23-2217,3,8.16,89,12,Academic,Paid,No,no_risk
NITP-23-2218,6,9.14,91,5,Academic,Paid,No,no_risk
NITP-23-2219,2,6.2,77,5,Academic,Partial,No,no_risk
NITP-23-2220,1,7.76,80,5,Sci-Fi,Paid,No,no_risk
NITP-23-2221,7,8.16,85,9,Fiction,Paid,No,no_risk
NITP-23-2222,7,0.62,43,1,Fiction,Partial,Maybe,on_the_verge_of_drop
NITP-23-2223,3,6.21,83,5,Biography,Partial,No,no_risk
NITP-23-2224,2,3.43,35,1,Sci-Fi,Partial,Maybe,on_the_verge_of_drop
NITP-23-2225,8,6.37,72,6,Sci-Fi,Paid,No,no_risk
NITP-23-2226,6,6.22,82,3,Academic,Paid,No,no_risk
NITP-23-2227,8,7.26,76,7,Academic,Paid,No,no_risk
NITP-23-2228,6,6.65,71,6,Sci-Fi,Paid,No,no_risk
NITP-23-2229,5,2.09,49,0,Sci-Fi,Pending,Yes,critical
NITP-23-2230,8,2.29,25,2,Sci-Fi,Pending,Yes,critical
NITP-23-2231,1,9.25,87,6,Fiction,Paid,No,critical
NITP-23-2232,4,9.55,99,7,Academic,Paid,No,no_risk
NITP-23-2233,1,8.6,91,14,Sci-Fi,Paid,No,critical
NITP-23-2234,3,3.43,50,2,Fiction,Pending,Yes,critical
NITP-23-2235,2,6.2,78,3,Biography,Paid,No,no_risk
NITP-23-2236,4,3.11,3,1,Fiction,Partial,No,critical
NITP-23-2237,5,8.71,90,11,Academic,Paid,No,no_risk
NITP-23-2238,2,6.32,73,4,Non-Fiction,Paid,No,no_risk
NITP-23-2239,2,0.52,40,0,None,Pending,No,critical
NITP-23-2240,2,9.78,85,12,Academic,Paid,No,no_risk
NITP-23-2241,2,7.76,83,5,Academic,Paid,No,no_risk
NITP-23-2242,8,8.05,89,11,Academic,Paid,No,on_the_verge_of_drop
NITP-23-2243,8,1.9,57,0,Fiction,Pending,Yes,critical
NITP-23-2244,2,6.24,70,2,None,Partial,Maybe,on_the_verge_of_drop
NITP-23-2245,8,5.39,14,0,None,Partial,Yes,critical
NITP-23-2246,3,4.29,41,2,Sci-Fi,Pending,Yes,critical
NITP-23-2247,8,2.66,18,2,Fiction,Partial,Yes,critical
NITP-23-2248,6,8.34,94,5,Academic,Paid,No,no_risk
NITP-23-2249,2,8.38,91,5,Academic,Paid,No,no_risk
NITP-23-2250,8,6.9,82,7,Academic,Paid,No,no_risk
NITP-23-2251,7,7.52,85,13,Academic,Paid,No,no_risk
NITP-23-2252,5,6.41,68,2,Biography,Paid,No,no_risk
NITP-23-2253,4,2.78,0,1,None,Pending,Maybe,on_the_verge_of_drop
NITP-23-2254,4,6.73,79,6,Non-Fiction,Partial,No,no_risk
NITP-23-2255,2,7.05,72,2,Biography,Paid,Maybe,on_the_verge_of_drop
NITP-23-2256,8,8.73,89,7,Academic,Paid,No,no_risk
NITP-23-2257,2,0.22,58,2,Fiction,Pending,Yes,critical
NITP-23-2258,8,7.77,84,13,Academic,Paid,No,no_risk
NITP-23-2259,6,8.8,91,5,Biography,Paid,No,no_risk
NITP-23-2260,5,8.6,96,5,Academic,Paid,No,no_risk
NITP-23-2261,1,6.86,81,2,Fiction,Paid,No,no_risk
NITP-23-2262,7,3.41,16,0,Fiction,Partial,Yes,critical
NITP-23-2263,5,9.9,81,7,Academic,Paid,No,no_risk
NITP-23-2264,5,6.34,84,4,Biography,Paid,No,no_risk
NITP-23-2265,7,8.17,93,5,Academic,Paid,No,no_risk
NITP-23-2266,5,9.85,90,8,Academic,Paid,No,no_risk
NITP-23-2267,1,9.74,97,8,Fiction,Paid,No,no_risk
NITP-23-2268,8,9.11,99,8,Fiction,Paid,No,no_risk
NITP-23-2269,4,8.41,87,12,Sci-Fi,Paid,No,no_risk
NITP-23-2270,2,0.13,45,1,None,Pending,No,on_the_verge_of_drop
NITP-23-2271,1,3.56,64,0,Sci-Fi,Partial,No,critical
NITP-23-2272,2,9.59,97,9,Academic,Paid,No,no_risk
NITP-23-2273,4,7.2,79,7,Sci-Fi,Partial,No,no_risk
NITP-23-2274,2,7.46,76,5,Fiction,Paid,No,no_risk
NITP-23-2275,7,8.16,96,12,Non-Fiction,Paid,No,no_risk
NITP-23-2276,5,5.61,77,5,None,Paid,No,no_risk
NITP-23-2277,7,8.09,98,13,Non-Fiction,Paid,No,no_risk
NITP-23-2278,8,8.14,91,9,Academic,Paid,No,no_risk
NITP-23-2279,3,7.82,93,6,Academic,Paid,No,no_risk
NITP-23-2280,5,8.26,82,7,Sci-Fi,Paid,No,no_risk
NITP-23-2281,7,5.91,74,4,Biography,Paid,Maybe,on_the_verge_of_drop
NITP-23-2282,7,6.52,83,2,Academic,Paid,No,no_risk
NITP-23-2283,3,7.01,71,3,Biography,Paid,No,no_risk
NITP-23-2284,6,7.71,92,6,Biography,Paid,No,no_risk
NITP-23-2285,3,0.11,30,0,Sci-Fi,Pending,Yes,critical
NITP-23-2286,2,9.16,82,8,Non-Fiction,Paid,No,no_risk
NITP-23-2287,6,2.32,12,0,Sci-Fi,Pending,Yes,critical
NITP-23-2288,8,6.01,69,2,Biography,Partial,Maybe,on_the_verge_of_drop
NITP-23-2289,5,9.43,82,14,Biography,Paid,No,no_risk
NITP-23-2290,4,8.87,96,5,Fiction,Paid,No,no_risk
NITP-23-2291,3,8.81,92,13,Fiction,Paid,No,no_risk
NITP-23-2292,4,6.82,81,6,None,Paid,No,critical
NITP-23-2293,6,6.08,72,2,None,Partial,No,no_risk
NITP-23-2294,1,1.39,58,2,Fiction,Pending,Maybe,on_the_verge_of_drop
NITP-23-2295,4,9.88,80,5,Academic,Paid,No,no_risk
NITP-23-2296,8,7.97,83,5,Biography,Paid,No,no_risk
NITP-23-2297,3,6.03,81,6,None,Partial,Maybe,on_the_verge_of_drop
NITP-23-2298,2,8.7,95,7,Academic,Paid,No,no_risk
NITP-23-2299,8,2.86,15,1,None,Pending,Yes,critical
NITP-23-2300,5,4.96,33,2,None,Pending,Maybe,on_the_verge_of_drop
NITP-23-2301,5,7.54,80,7,Academic,Paid,No,no_risk
NITP-23-2302,5,7.63,81,5,Fiction,Paid,No,no_risk
NITP-23-2303,8,8.03,95,10,Academic,Paid,No,no_risk
NITP-23-2304,1,7.52,85,9,Academic,Paid,No,critical
NITP-23-2305,8,8.43,86,11,Academic,Paid,No,no_risk
NITP-23-2306,6,6.64,75,4,Non-Fiction,Partial,Maybe,on_the_verge_of_drop
NITP-23-2307,8,8.91,98,5,Academic,Paid,No,no_risk
NITP-23-2308,6,5.58,71,2,Non-Fiction,Partial,No,no_risk
NITP-23-2309,5,8.98,95,6,Non-Fiction,Paid,No,no_risk
NITP-23-2310,3,5.52,81,3,None,Paid,No,no_risk
NITP-23-2311,1,3.52,2,2,None,Pending,Maybe,no_risk
NITP-23-2312,8,8.06,96,8,Non-Fiction,Paid,No,critical
NITP-23-2313,1,6.25,69,5,None,Partial,No,no_risk
NITP-23-2314,3,7.4,73,2,Fiction,Paid,No,critical
NITP-23-2315,5,6.53,73,5,Non-Fiction,Paid,Maybe,on_the_verge_of_drop
NITP-23-2316,4,6.84,79,4,Academic,Paid,No,no_risk
NITP-23-2317,1,1.0,31,0,None,Pending,No,critical
NITP-23-2318,3,4.66,7,1,None,Pending,No,critical
NITP-23-2319,5,9.88,91,7,Academic,Paid,No,no_risk
NITP-23-2320,5,5.8,66,6,None,Paid,No,no_risk
NITP-23-2321,4,6.93,76,2,Non-Fiction,Partial,No,no_risk
NITP-23-2322,1,4.92,36,1,None,Partial,Maybe,on_the_verge_of_drop
NITP-23-2323,2,9.72,82,14,Non-Fiction,Paid,No,no_risk
NITP-23-2324,5,8.13,96,7,Sci-Fi,Paid,No,no_risk
NITP-23-2325,5,8.05,99,7,Academic,Paid,No,no_risk
NITP-23-2326,7,5.59,71,5,None,Partial,No,no_risk
NITP-23-2327,1,9.57,90,14,Non-Fiction,Paid,No,no_risk
NITP-23-2328,5,8.33,87,10,Academic,Paid,No,no_risk
NITP-23-2329,1,6.71,69,6,Fiction,Paid,No,no_risk
NITP-23-2330,1,9.68,87,9,Non-Fiction,Paid,No,no_risk
NITP-23-2331,7,5.58,80,7,None,Paid,Maybe,on_the_verge_of_drop
NITP-23-2332,2,2.32,22,0,None,Pending,No,critical
NITP-23-2333,6,4.48,38,2,None,Pending,Yes,critical
NITP-23-2334,2,8.41,97,9,Non-Fiction,Paid,No,no_risk
NITP-23-2335,3,8.77,89,8,Non-Fiction,Paid,No,no_risk
NITP-23-2336,5,7.66,90,14,Academic,Paid,No,no_risk
NITP-23-2337,7,9.23,84,6,Biography,Paid,No,no_risk
NITP-23-2338,7,6.8,71,3,None,Paid,No,no_risk
NITP-23-2339,4,8.67,84,9,Academic,Paid,No,no_risk
NITP-23-2340,5,6.36,68,2,Biography,Partial,No,no_risk
NITP-23-2341,6,6.63,70,5,Sci-Fi,Paid,No,no_risk
NITP-23-2342,8,9.92,82,5,Sci-Fi,Paid,No,critical
NITP-23-2343,4,7.92,81,14,Academic,Paid,No,no_risk
NITP-23-2344,4,0.0,60,2,Fiction,Pending,No,critical
NITP-23-2345,3,7.04,82,6,Academic,Paid,No,no_risk
NITP-23-2346,3,6.06,72,7,Non-Fiction,Partial,No,no_risk
NITP-23-2347,1,8.43,80,11,Academic,Paid,No,no_risk
NITP-23-2348,7,6.27,70,6,None,Partial,No,no_risk
NITP-23-2349,2,8.54,85,6,Academic,Paid,No,no_risk
NITP-23-2350,4,5.94,78,2,Biography,Partial,No,no_risk
NITP-23-2351,7,0.99,40,0,Sci-Fi,Partial,Maybe,on_the_verge_of_drop
NITP-23-2352,3,2.6,7,1,Fiction,Partial,Maybe,on_the_verge_of_drop
NITP-23-2353,6,6.57,72,7,Fiction,Partial,No,no_risk
NITP-23-2354,5,3.63,54,0,Fiction,Pending,No,critical
NITP-23-2355,5,8.85,96,9,Academic,Paid,No,on_the_verge_of_drop
NITP-23-2356,7,9.52,93,6,Academic,Paid,No,no_risk
NITP-23-2357,2,0.87,53,1,Sci-Fi,Partial,Maybe,on_the_verge_of_drop
NITP-23-2358,8,8.02,97,11,Academic,Paid,No,no_risk
NITP-23-2359,6,6.19,83,4,Fiction,Paid,Maybe,on_the_verge_of_drop
NITP-23-2360,5,9.9,93,7,Academic,Paid,No,no_risk
NITP-23-2361,1,8.4,83,5,Non-Fiction,Paid,No,no_risk
NITP-23-2362,7,9.25,88,10,Academic,Paid,No,no_risk
NITP-23-2363,3,9.19,89,5,Academic,Paid,No,no_risk
NITP-23-2364,4,0.74,22,2,None,Pending,Yes,critical
NITP-23-2365,3,6.58,78,7,Academic,Partial,No,no_risk
NITP-23-2366,2,1.34,53,0,None,Pending,Yes,critical
NITP-23-2367,6,9.9,85,14,Academic,Paid,No,no_risk
NITP-23-2368,1,8.09,91,7,Academic,Paid,No,no_risk
NITP-23-2369,8,9.58,83,10,Academic,Paid,No,no_risk
NITP-23-2370,1,6.32,67,5,Biography,Paid,Maybe,on_the_verge_of_drop
NITP-23-2371,6,3.77,7,1,None,Pending,Yes,critical
NITP-23-2372,6,6.89,77,6,Non-Fiction,Partial,No,no_risk
NITP-23-2373,6,6.72,78,4,Sci-Fi,Paid,Maybe,on_the_verge_of_drop
NITP-23-2374,8,9.14,80,10,Fiction,Paid,No,no_risk
NITP-23-2375,7,9.3,81,12,Academic,Paid,No,no_risk
NITP-23-2376,3,7.52,98,9,Academic,Paid,No,no_risk
NITP-23-2377,2,6.99,84,3,Non-Fiction,Paid,Maybe,on_the_verge_of_drop
NITP-23-2378,7,5.73,81,5,Sci-Fi,Paid,No,no_risk
NITP-23-2379,7,7.18,67,2,Sci-Fi,Paid,No,no_risk
NITP-23-2380,6,7.92,88,6,Academic,Paid,No,no_risk
NITP-23-2381,7,5.86,71,5,Academic,Paid,Maybe,critical
NITP-23-2382,5,7.91,91,9,Fiction,Paid,No,no_risk
